dataset,nb_scenarios,P_dropout_pairs,P_dropout_altruistic,rep,time,miprelstop_setting,opt_val,VSS,rel_VSS
30,100,0.1,0.1,23,43.28257298469544,0.05,676.9699999999996,206.97999999999848,0.23415351547033084
30,100,0.1,0.1,24,2.880233764648437,0.05,663.199999999999,221.0999999999999,0.2500282709487732
30,100,0.1,0.1,25,16.098546743392944,0.05,682.109999999997,173.59999999999405,0.20287246847646503
30,100,0.1,0.1,26,5.508494853973389,0.05,661.4100000000005,181.40999999999764,0.2152416886167842
30,100,0.1,0.1,27,40.48875260353088,0.05,645.6299999999983,160.6999999999963,0.19929805414656204
30,100,0.1,0.1,28,42.04362940788269,0.05,643.699999999997,244.49999999999815,0.2752758387750501
30,100,0.1,0.1,29,5.08777642250061,0.05,690.8899999999984,215.609999999996,0.23784886927743776
30,100,0.1,0.1,3,90.42204809188844,0.05,697.6499999998899,174.50999999988733,0.2000894331314574
30,100,0.1,0.1,4,22.93514347076416,0.05,634.7199999999982,217.049999999998,0.2548223111872911
30,100,0.1,0.1,5,20.966639041900635,0.05,645.7099999999989,210.87999999999815,0.2461854562859698
30,100,0.1,0.1,6,63.414391040802,0.05,588.7199999999983,162.60999999999797,0.2164295316305735
30,100,0.1,0.1,7,21.570051193237305,0.05,657.1299999999998,145.86999999999745,0.18165628891656033
30,100,0.1,0.1,8,17.418655395507812,0.05,603.5599999999978,206.8599999999981,0.25525036400878454
30,100,0.1,0.1,9,2.64288592338562,0.05,675.1599999999977,313.779999999997,0.3172892187594785
30,20,0.05,0.05,0,3.3580539226531982,0.05,813.7000000000016,148.60000000000082,0.15442169801517244
30,20,0.05,0.05,1,0.4645757675170898,0.05,795.9000000000023,82.70000000000141,0.09412702025950496
30,20,0.05,0.05,10,0.5044031143188477,0.05,865.3000000000022,184.50000000000125,0.17574776147837745
30,20,0.05,0.05,11,0.5788543224334717,0.05,838.0500000000021,102.45000000000152,0.10893141945773645
30,20,0.05,0.05,12,0.8869686126708984,0.05,835.95,159.89999999999918,0.16056635035396827
30,20,0.05,0.05,13,0.3531467914581299,0.05,860.4500000000018,1.4779288903810084e-12,1.717623209228895e-15
30,20,0.05,0.05,14,1.2298142910003662,0.05,798.2000000000019,111.20000000000095,0.12227842533538665
30,20,0.05,0.05,15,1.822227001190185,0.05,850.750000000002,117.75000000000136,0.12157976251936081
30,20,0.05,0.05,16,1.9174690246582031,0.05,710.1000000000017,143.150000000001,0.16777029006739003
30,20,0.05,0.05,17,4.847987651824951,0.05,751.4000000000013,160.85000000000036,0.17632228007673342
30,20,0.05,0.05,18,34.528260946273804,0.05,849.5500000000008,90.29999999999995,0.09607916156833525
30,20,0.05,0.05,19,1.783806085586548,0.05,847.1500000000013,43.550000000000864,0.048894128213765306
30,20,0.05,0.05,2,3.105765581130981,0.05,808.7500000000033,76.25000000000239,0.08615819209039763
30,20,0.05,0.05,20,9.0924232006073,0.05,815.000000000001,147.55000000000018,0.15329073814347308
30,20,0.05,0.05,21,4.450314283370972,0.05,811.0499999999328,171.1499999999313,0.1742516799022144
30,20,0.05,0.05,22,18.22060489654541,0.05,777.5500000000023,125.00000000000148,0.13849648218935345
30,20,0.05,0.05,23,1.1224894523620603,0.05,838.6000000000003,79.30000000000007,0.08639285325198828
30,20,0.05,0.05,24,0.4874365329742431,0.05,824.0500000000033,207.0000000000024,0.2007662092042105
30,20,0.05,0.05,25,0.506028413772583,0.05,812.9000000000004,171.94999999999948,0.17459511600751332
30,20,0.05,0.05,26,0.5853936672210693,0.05,864.2000000000021,203.50000000000136,0.1905966095345141
30,20,0.05,0.05,27,0.9753613471984864,0.05,798.4500000000019,64.95000000000141,0.07522585128561636
30,20,0.05,0.05,28,5.919807434082031,0.05,819.6000000000009,105.74999999999989,0.11428108283352223
30,20,0.05,0.05,29,9.644728422164915,0.05,749.5000000000011,154.14999999999998,0.17058595695235965
30,20,0.05,0.05,3,0.4362556934356689,0.05,881.7500000000008,144.80000000000007,0.14105499001509908
30,20,0.05,0.05,4,32.910733699798584,0.05,827.6500000000013,178.9000000000001,0.17773583031145979
30,20,0.05,0.05,5,0.5955660343170166,0.05,846.0500000000015,142.9500000000006,0.14453993933265954
30,20,0.05,0.05,6,13.294588804244995,0.05,779.500000000002,101.90000000000124,0.11561152711595288
